"ctry_code";"techn_field_nr";"n_tech_reg"
"AB";31;0,2
"AD";1;2,58333333333333
"AD";2;2,5
"AD";3;1,5
"AD";4;1
"AD";6;3,25
"AD";7;2,33333333333333
"AD";8;0,166666666666667
"AD";9;1
"AD";10;0,5
"AD";12;1,41666666666667
"AD";13;3,33333333333333
"AD";14;1
"AD";15;1
"AD";16;1,33333333333333
"AD";18;2,08333333333333
"AD";19;0,30952380952381
"AD";20;1,5
"AD";21;1
"AD";23;1,66666666666667
"AD";24;0,5
"AD";25;3,33333333333333
"AD";27;3,25
"AD";28;2
"AD";29;2,91666666666667
"AD";30;2,75
"AD";31;0,25
"AD";32;2,33333333333333
"AD";33;1,75
"AD";34;1
"AD";35;7,5
"AE";1;38,1166666666667
"AE";2;20,1650793650794
"AE";3;47,781746031746
"AE";4;54,1145021645022
"AE";5;5,78333333333333
"AE";6;98,8409844240727
"AE";7;58,6907268170426
"AE";8;11,5166666666667
"AE";9;7,23194444444444
"AE";10;62,5259920634921
"AE";11;5,83333333333333
"AE";12;46,6039682539683
"AE";13;51,3055555555556
"AE";14;6,42638888888889
"AE";15;9,10555555555556
"AE";16;22,6315476190476
"AE";17;25,053373015873
"AE";18;9,88333333333333
"AE";19;21,5190836940837
"AE";20;12,0005952380952
"AE";21;27,0017857142857
"AE";22;1,70833333333333
"AE";23;26,5240079365079
"AE";24;24,389880952381
"AE";25;18,9666666666667
"AE";26;5,18055555555556
"AE";27;24,8323412698413
"AE";28;3,5
"AE";29;22,8
"AE";30;18,6111111111111
"AE";31;20,0305555555556
"AE";32;42,3952380952381
"AE";33;34,2027777777778
"AE";34;29,8928571428571
"AE";35;80,6053571428571
"AF";1;0,166666666666667
"AF";6;0,1
"AF";9;0,166666666666667
"AF";12;0,1
"AF";13;1
"AF";15;0,166666666666667
"AF";18;0,166666666666667
"AF";19;0,166666666666667
"AF";31;0,666666666666667
"AG";1;1,5
"AG";3;1
"AG";6;1,2
"AG";7;0,25
"AG";9;0,5
"AG";10;0,25
"AG";13;1,25
"AG";15;0,25
"AG";16;1,75
"AG";18;0,333333333333333
"AG";19;1,25
"AG";25;0,25
"AG";33;0,5
"AG";35;1
"AI";1;2
"AI";10;1
"AI";13;1
"AI";28;0,333333333333333
"AI";31;0,166666666666667
"AI";32;0,166666666666667
"AI";33;0,333333333333333
"AI";34;3,33333333333333
"AL";3;0,429166666666667
"AL";6;0,0625
"AL";7;0,5
"AL";14;0,333333333333333
"AL";16;2,41666666666667
"AL";19;0,25
"AL";24;0,142857142857143
"AL";25;0,25
"AL";27;4,5
"AL";28;0,25
"AL";29;1,25
"AL";30;2
"AL";31;2,25
"AL";32;0,583333333333333
"AL";33;2
"AL";35;1,5
"AM";1;7,31666666666667
"AM";2;8,06071428571429
"AM";3;0,833333333333333
"AM";4;16,0444444444444
"AM";5;1,97619047619048
"AM";6;46,7047619047619
"AM";7;0,766666666666667
"AM";8;9,23664021164021
"AM";9;1,66679894179894
"AM";10;2,61111111111111
"AM";11;0,714285714285714
"AM";12;2,20833333333333
"AM";13;10,7575757575758
"AM";14;4,71601731601732
"AM";15;3,92633477633478
"AM";16;7,2718253968254
"AM";17;1,28333333333333
"AM";18;17,3747474747475
"AM";19;2,29166666666667
"AM";20;3,76309523809524
"AM";21;3,5
"AM";22;0,624338624338624
"AM";23;5,33293650793651
"AM";24;0,866666666666667
"AM";25;2,75
"AM";26;2,5
"AM";27;4,16666666666667
"AM";28;0,166666666666667
"AM";29;2,08333333333333
"AM";30;2,11666666666667
"AM";31;1,7
"AM";32;0,333333333333333
"AM";33;0,125
"AM";34;0,819047619047619
"AM";35;8,91666666666667
"AN";1;0,570833333333333
"AN";2;0,945833333333333
"AN";3;2,175
"AN";4;0,5
"AN";5;0,2375
"AN";8;0,404166666666667
"AN";9;0,166666666666667
"AN";10;3
"AN";12;0,291666666666667
"AN";13;2,66666666666667
"AN";14;0,5
"AN";15;1
"AN";16;3,5
"AN";17;0,5
"AN";19;1,03333333333333
"AN";20;0,333333333333333
"AN";23;1,33333333333333
"AN";24;2,16666666666667
"AN";25;2,5
"AN";26;1
"AN";27;1,125
"AN";28;0,333333333333333
"AN";29;0,5
"AN";31;1
"AN";32;1,14285714285714
"AN";33;3,33333333333333
"AN";35;3
"AO";1;2,16666666666667
"AO";3;0,333333333333333
"AO";4;0,333333333333333
"AO";7;0,5
