"";"Relatedness_Association";"Relatedness_Jaccard";"Relatedness_Prob";"Relatedness_Cosine";"Period"
"AD";13;13;13;13;"1st"
"AE";5;6;5;6;"1st"
"AG";3;4;3;4;"1st"
"AI";NA;NA;NA;NA;"1st"
"AI_pat";20;18;20;18;"1st"
"AL";6;5;6;5;"1st"
"AM";0;0;0;0;"1st"
"AN";2;3;2;3;"1st"
"AR";38;35;38;36;"1st"
"AS";0;0;0;0;"1st"
"AT";37;35;37;35;"1st"
"AU";42;38;42;39;"1st"
"AZ";8;12;8;11;"1st"
"BA";13;17;13;17;"1st"
"BB";22;20;22;20;"1st"
"BD";10;10;10;10;"1st"
"BE";46;47;46;47;"1st"
"BG";59;59;59;58;"1st"
"BH";NA;NA;NA;NA;"1st"
"BI";0;0;0;0;"1st"
"BJ";0;0;0;0;"1st"
"BM";23;30;23;28;"1st"
"BN";NA;NA;NA;NA;"1st"
"BO";26;26;26;25;"1st"
"BR";27;25;27;25;"1st"
"BS";38;39;38;39;"1st"
"BU";16;17;16;17;"1st"
"BY";0;0;0;0;"1st"
"BZ";NA;NA;NA;NA;"1st"
"CA";49;48;49;49;"1st"
"CC";0;0;0;0;"1st"
"CD";NA;NA;NA;NA;"1st"
"CH";43;41;43;42;"1st"
"CI";18;14;18;16;"1st"
"CL";37;37;37;36;"1st"
"CM";2;2;2;2;"1st"
"CN";43;45;43;45;"1st"
"CO";33;31;33;31;"1st"
"CR";26;23;26;24;"1st"
"CS";48;49;48;49;"1st"
"CU";39;38;39;38;"1st"
"CY";28;29;28;29;"1st"
"CZ";43;46;43;46;"1st"
"DD";61;60;61;60;"1st"
"DE";45;46;45;46;"1st"
"DK";41;39;41;39;"1st"
"DO";13;12;13;13;"1st"
"DZ";12;11;12;11;"1st"
"EC";24;21;24;22;"1st"
"EG";38;41;38;41;"1st"
"ES";42;38;42;38;"1st"
"ET";0;0;0;0;"1st"
"FI";37;37;37;37;"1st"
"FR";44;41;44;41;"1st"
"GA";9;8;9;9;"1st"
"GB";48;43;48;44;"1st"
"GC";14;14;14;14;"1st"
"GH";1;1;1;1;"1st"
"GL";NA;NA;NA;NA;"1st"
"GN";2;2;2;2;"1st"
"GR";48;48;48;48;"1st"
"GT";26;22;26;22;"1st"
"GY";4;2;4;3;"1st"
"HK";16;13;16;13;"1st"
"HN";10;10;10;10;"1st"
"HR";0;1;0;1;"1st"
"HT";4;2;4;2;"1st"
"HU";49;46;50;46;"1st"
